EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),sunVecX,sunVecY,sunVecZ
18020,2457415.5,59428,5345.00435,2733.27365,3542.23884,-4.8546,3.65967,4.49957,6973.16631,0.00041,0.8986,6.26707,1.00998,5.98034,5.98009,1,270.2,5.1,30.8,12.4,0,1,1
18040,2457415.5,59448,5246.66248,2805.81817,3631.38756,-4.9792,3.5945,4.41495,6972.91605,0.00037,0.89858,6.26705,1.05337,5.95865,5.95841,1,272.3,6.3,31.6,13.4,0,1,1
18060,2457415.5,59468,5145.85189,2877.04245,3718.82294,-5.10146,3.52765,4.32825,6972.6645,0.00034,0.89857,6.26704,1.09985,5.93387,5.93364,1,274.7,7.6,32.5,14.4,0,1,1
18080,2457415.5,59488,5042.6202,2946.91307,3804.50388,-5.2213,3.45914,4.23951,6972.4121,0.00031,0.89855,6.26702,1.15038,5.90506,5.90483,1,277.3,9,33.3,15.4,0,1,1
18100,2457415.5,59508,4937.01618,3015.39728,3888.39011,-5.33868,3.38901,4.14878,6972.15933,0.00028,0.89854,6.267,1.20631,5.87083,5.87061,1,280.2,10.3,34.1,16.4,0,1,1
18120,2457415.5,59528,4829.08971,3082.46298,3970.44221,-5.45354,3.3173,4.05611,6971.90671,0.00024,0.89852,6.26698,1.26969,5.82915,5.82894,1,283.4,11.7,35,17.5,0,1,1
18140,2457415.5,59548,4718.89175,3148.07872,4050.62163,-5.56582,3.24402,3.96152,6971.65482,0.00021,0.89851,6.26696,1.34371,5.77684,5.77663,1,287,13.1,35.8,18.5,0,1,1
18160,2457415.5,59568,4606.47432,3212.21378,4128.89071,-5.67548,3.16923,3.86508,6971.40431,0.00018,0.8985,6.26694,1.43356,5.70869,5.7085,1,290.9,14.6,36.6,19.6,0,1,1
18180,2457415.5,59588,4491.89047,3274.83811,4205.21271,-5.78246,3.09296,3.76682,6971.15579,0.00015,0.89848,6.26692,1.54817,5.61579,5.6156,1,295.3,15.9,37.3,20.8,0,1,1
18200,2457415.5,59608,4375.19426,3335.92239,4279.5518,-5.88671,3.01523,3.6668,6970.90971,0.00012,0.89847,6.2669,1.70355,5.4821,5.48193,1,300.2,17.2,38.1,21.9,0,1,1
